
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"236","true","true","2000","2","15","158.27922586669484","3.04","87.69115176232872","1.104208815593199"
"240","true","true","2000","0","11","149.3736003212925","3.184","79.46519972850031","1.059544495598278"
"241","true","true","2000","1","16","154.57612770642794","3.336","87.6967439741889","1.1508264884098316"
"242","true","true","2000","2","16","149.06820892283037","3.296","84.1504936188352","1.1958697327345849"
"244","true","true","2000","1","23","150.7126945130352","3.208","91.63318409410597","1.170562628597838"
"245","true","true","2000","1","13","144.22321716976717","2.976","77.42062514394853","1.052547111385873"
"246","true","true","2000","4","21","157.11469356643198","3.072","96.51207658328032","1.2035823369288308"
"243","true","true","2000","3","21","147.07331594314138","3.168","89.00327846856761","1.1667137110423185"
"247","true","true","2000","5","22","165.69460033523663","3.064","93.63985580907199","1.159864276785111"
"248","true","true","2000","4","16","152.8239938118494","3.168","88.47406577379682","1.1939337970116217"
"249","true","true","2000","0","15","139.0783360939717","3.28","75.14207919087455","1.1963800822501247"
"251","true","true","2000","3","19","158.56509204139726","3.136","95.56655599248676","1.132534563778347"
"252","true","true","2000","1","16","151.17282511553773","3.36","87.7233709710434","1.1435167345029789"
"253","true","true","2000","0","16","163.34638042284394","3.064","98.8578953536709","1.0957676885678078"
"250","true","true","2000","1","14","149.72242020812126","3.168","83.52822073062664","1.1493738473463961"
"254","true","true","2000","2","13","165.20031369684264","3.072","91.84111391879728","1.1593932771429785"
"255","true","true","2000","1","16","149.17062188501674","3.448","83.80876913614024","1.3107893326918676"
"256","true","true","2000","2","16","147.91148652359323","3.112","77.20676401334241","1.1101286151472152"
"259","true","true","2000","6","20","147.5928839108124","3","90.30058407277433","1.1787952463985112"
"258","true","true","2000","1","11","161.81912840624636","3.24","92.57166674394861","1.1258196478646443"
"260","true","true","2000","3","16","152.69164725102274","3.008","89.14246686173358","1.1336120611659375"
"261","true","true","2000","0","15","157.21176320741736","3.24","88.22313435295011","1.1505193519087213"
"262","true","true","2000","0","18","153.49777078723343","3.08","95.91551234462982","1.0724741503704662"
"257","true","true","2000","0","18","155.19659457903992","3.168","91.52282310189302","1.131768350146609"
"263","true","true","2000","2","16","155.66486324554216","3.144","90.14975223895289","1.1526397152853145"
"264","true","true","2000","1","19","140.92955460538943","3.208","81.90292150069482","1.1070856128668942"
"265","true","true","2000","1","8","152.9669482145983","3.272","77.01048748392834","1.1847491388848324"
"267","true","true","2000","2","23","156.03895721355107","3.16","87.19577355241094","1.0821665016758732"
"268","true","true","2000","0","16","156.60676318387598","3.144","88.88704568808258","1.0076335153243066"
"269","true","true","2000","0","17","151.02741427497264","3.16","83.80560795395633","1.0596657804539407"
"270","true","true","2000","1","15","147.45009621762662","3.184","82.04316356616286","1.089445531573314"
"266","true","true","2000","2","14","146.96179810801615","3.224","88.20141651852579","1.1675945822218146"
"271","true","true","2000","1","20","150.33479586772663","3.32","85.34505992852058","1.2130482034012902"
"272","true","true","2000","1","23","153.7150594632945","3","95.61570149347362","1.126532869125834"
"273","true","true","2000","0","18","159.12699121479983","3.048","87.82830976216309","1.1502121333941948"
"275","true","true","2000","1","13","149.3411268669707","3.16","86.77721783694314","1.1150665872385839"
"276","true","true","2000","0","9","152.9830293650646","3.296","81.56536070220385","1.0793721215164072"
"277","true","true","2000","1","15","159.67401770454268","3.208","93.2888633335056","1.0474371093254073"
"274","true","true","2000","0","18","153.40685404747103","3.12","95.96468609709636","1.042086260873062"
"278","true","true","2000","1","13","166.00276329203933","3.2","86.70378550681828","1.0060060600071363"
"279","true","true","2000","0","13","153.85817684340387","3.264","82.40056886596848","1.0950344294160008"
"280","true","true","2000","0","16","160.243075185569","3.016","90.52151359824165","1.1580623617642265"
"282","true","true","2000","1","20","151.47508640846468","3.176","94.69147426480396","1.0907718058925633"
"283","true","true","2000","3","22","155.09174129615764","3.272","94.8162870995052","1.2410385597665"
"284","true","true","2000","1","18","156.3206506491183","3.064","96.03266413951218","1.1282712368644972"
"281","true","true","2000","2","19","144.83684520303714","3.44","84.87842520313342","1.2411938805021503"
"285","true","true","2000","2","26","150.47638254926974","3.064","90.34923201488657","1.227162463100698"
"286","true","true","2000","0","12","151.06413077275545","3.072","81.98296175490711","1.1098391648736987"
"287","true","true","2000","2","15","150.8344828153783","3.376","81.52504893345584","1.233169423602952"
